optID,contMultNum,contractStatus,contractType,currencyCD,deliDate,delistDate,exchangeCD,exerDate,expDate,expMonth,expYear,lastTradeDate,listDate,secID,secShortName,strikePrice,tickerSymbol,varExchangeCD,varSecID,varShortName,varTicker,varType
10000086,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-03-19,510050P1506M02700.XSHG,50ETF沽6月2700,2.7,510050P1506M02700,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000087,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-03-19,510050C1509M02700.XSHG,50ETF购9月2700,2.7,510050C1509M02700,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000088,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-03-19,510050P1509M02700.XSHG,50ETF沽9月2700,2.7,510050P1509M02700,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000089,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-03-23,510050C1503M02750.XSHG,50ETF购3月2750,2.75,510050C1503M02750,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000090,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-03-23,510050P1503M02750.XSHG,50ETF沽3月2750,2.75,510050P1503M02750,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000091,10000,DE,CO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-03-23,510050C1504M02750.XSHG,50ETF购4月2750,2.75,510050C1504M02750,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000092,10000,DE,PO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-03-23,510050P1504M02750.XSHG,50ETF沽4月2750,2.75,510050P1504M02750,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000093,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-03-23,510050C1506M02750.XSHG,50ETF购6月2750,2.75,510050C1506M02750,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000094,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-03-23,510050P1506M02750.XSHG,50ETF沽6月2750,2.75,510050P1506M02750,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000095,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-03-23,510050C1509M02750.XSHG,50ETF购9月2750,2.75,510050C1509M02750,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000096,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-03-23,510050P1509M02750.XSHG,50ETF沽9月2750,2.75,510050P1509M02750,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000097,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-03-24,510050C1503M02800.XSHG,50ETF购3月2800,2.8,510050C1503M02800,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000098,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-03-24,510050P1503M02800.XSHG,50ETF沽3月2800,2.8,510050P1503M02800,XSHG,510050.XSHG,华夏上证50ETF,510050,F
